Tarih,Saat,Lig,MBS,Ev Sahibi,Skor,Deplasman,İY,MS1,MS0,MS2,AU2.5 Alt,AU2.5 Üst,KG Var,KG Yok,IY0.5 Alt,IY0.5 Üst,AU1.5 Alt,AU1.5 Üst,Çifte Şans 1-X,Çifte Şans 1-2,Çifte Şans X-2,IY Çifte Şans 1-X,IY Çifte Şans 1-2,IY Çifte Şans X-2,IY1,IY0,IY2,2Y1,2Y0,2Y2,Tek,Çift,IY/MS 1/1,IY/MS 1/0,IY/MS 1/2,IY/MS 0/1,IY/MS 0/0,IY/MS 0/2,IY/MS 2/1,IY/MS 2/0,IY/MS 2/2,Hafta
2025-04-04,21:45:00,FRA1,1,Nice,1-2,Nantes,1-2,1.33,4.01,5.54,1.91,1.52,1.66,1.72,3.06,1.17,3.79,1.09,,,1.72,0,1.28,1.50,1.78,2.27,5.62,1.67,2.62,4.99,1.72,1.67,1.88,16.15,35.00,4.04,6.06,12.10,21.95,18.35,9.90,1844
2025-03-30,21:45:00,FRA1,1,Lille,1-0,Lens,1-0,1.75,3.03,3.56,1.54,1.87,1.72,1.66,2.46,1.29,2.83,1.21,,1.08,1.37,1.05,1.43,1.27,2.35,1.93,4.20,2.15,2.26,3.65,1.75,1.64,2.71,13.75,35.00,4.53,4.38,7.79,27.00,14.85,6.25,1843
2025-03-30,18:15:00,FRA1,1,Angers,0-3,Rennes,0-1,3.26,2.98,1.86,1.60,1.79,1.63,1.76,2.55,1.27,3.03,1.17,1.33,1.09,1.06,1.25,1.41,1.07,3.85,1.96,2.43,3.38,2.29,2.23,1.77,1.63,5.61,13.90,26.50,7.40,4.44,4.82,35.00,13.00,2.88,1843
2025-03-30,18:15:00,FRA1,1,Auxerre,1-0,Montpellier,0-0,1.61,3.42,3.73,1.88,1.53,1.50,1.93,2.95,1.19,3.77,1.09,,1.05,1.45,1.06,1.33,1.35,2.11,2.14,4.15,1.95,2.51,3.69,1.73,1.65,2.39,13.55,35.00,4.55,5.38,8.63,22.45,14.75,6.43,1843
2025-03-30,18:15:00,FRA1,1,Le Havre,3-2,Nantes,2-1,2.68,2.88,2.16,1.52,1.91,1.67,1.71,2.40,1.30,2.78,1.21,1.22,1.10,1.13,1.17,1.45,1.11,3.37,1.88,2.82,2.97,2.23,2.53,1.76,1.63,4.53,13.65,30.00,6.18,4.20,5.24,34.50,13.35,3.52,1843
2025-03-30,16:00:00,FRA1,1,Toulouse,2-4,Brest,0-2,1.79,3.03,3.41,1.58,1.83,1.68,1.71,2.50,1.28,2.92,1.19,1.05,1.08,1.36,1.06,1.42,1.26,2.38,1.94,4.05,2.17,2.28,3.53,1.75,1.64,2.77,13.50,35.00,4.63,4.44,7.60,26.50,14.50,5.96,1843
2025-03-29,23:05:00,FRA1,1,Monaco,2-1,Nice,0-1,1.69,3.42,3.38,1.98,1.48,1.44,2.04,3.06,1.17,4.03,1.07,1.05,1.05,1.41,1.07,1.33,1.32,2.18,2.16,3.82,2.02,2.53,3.41,1.73,1.65,2.53,13.20,34.50,4.75,5.52,8.08,21.95,14.10,5.72,1843
2025-03-29,21:00:00,FRA1,1,Saint-Etienne,1-6,Paris SG,1-1,9.24,6.56,1.08,3.57,1.11,1.43,2.09,5.05,,8.06,,2.24,,,1.95,1.12,0,7.28,3.13,1.38,6.86,3.59,1.32,1.70,1.69,16.15,24.65,17.35,21.95,11.45,4.25,35.00,21.25,1.39,1843
2025-03-29,19:00:00,FRA1,1,Reims,3-1,Marsilya,1-0,4.58,3.63,1.45,1.81,1.59,1.63,1.76,2.89,1.20,3.54,1.11,1.58,,,1.42,1.32,0,4.92,2.16,1.94,4.35,2.51,1.81,1.72,1.66,8.11,16.60,22.45,10.10,5.49,4.20,35.00,14.85,2.12,1843
2025-03-28,22:45:00,FRA1,1,RC Strasbourg,4-2,Lyon,0-0,2.41,3.14,2.24,1.97,1.48,1.39,2.16,3.02,1.18,4.05,1.07,1.21,1.08,1.17,1.19,1.35,1.16,2.90,2.12,2.73,2.64,2.48,2.50,1.76,1.63,3.85,12.35,25.00,6.24,5.16,5.89,26.50,12.30,3.52,1843
