Tarih,Saat,Lig,MBS,Ev Sahibi,Skor,Deplasman,İY,MS1,MS0,MS2,AU2.5 Alt,AU2.5 Üst,KG Var,KG Yok,IY0.5 Alt,IY0.5 Üst,AU1.5 Alt,AU1.5 Üst,Çifte Şans 1-X,Çifte Şans 1-2,Çifte Şans X-2,IY Çifte Şans 1-X,IY Çifte Şans 1-2,IY Çifte Şans X-2,IY1,IY0,IY2,2Y1,2Y0,2Y2,Tek,Çift,IY/MS 1/1,IY/MS 1/0,IY/MS 1/2,IY/MS 0/1,IY/MS 0/0,IY/MS 0/2,IY/MS 2/1,IY/MS 2/0,IY/MS 2/2,Hafta
2025-02-22,17:30:00,AL1,1,Wolfsburg,1-1,Bochum,0-0,1.44,3.79,4.42,2.17,1.37,1.44,2.03,3.36,1.12,4.54,,,,1.58,0,1.26,1.44,1.86,2.32,4.57,1.76,2.67,4.10,1.72,1.65,2.02,13.90,34.50,4.38,6.15,10.30,20.05,15.35,7.53,1838
2025-02-21,22:30:00,AL1,1,Freiburg,5-0,Werder Bremen,2-0,1.76,3.09,3.37,1.70,1.66,1.56,1.83,2.69,1.23,3.29,1.13,,1.07,1.36,1.06,1.37,1.28,2.29,2.02,3.89,2.12,2.35,3.43,1.75,1.62,2.66,12.80,34.50,4.69,4.68,7.69,24.30,13.75,5.75,1838
2025-02-16,21:30:00,AL1,1,Heidenheim,0-2,Mainz 05,0-1,3.19,3.03,1.84,1.67,1.70,1.56,1.83,2.64,1.23,3.22,1.14,1.32,1.08,1.06,1.25,1.38,1.08,3.74,2.00,2.39,3.30,2.33,2.20,1.75,1.62,5.40,13.50,25.00,7.32,4.56,4.81,34.50,12.65,2.81,1837
2025-02-16,19:30:00,AL1,1,Eintracht Frankfurt,3-1,Holstein Kiel,2-0,1.18,5.08,7.02,2.43,1.29,1.56,1.84,3.75,1.09,5.15,,,,1.97,0,1.19,1.69,1.55,2.60,6.37,1.46,2.99,5.86,1.68,1.68,1.58,18.50,34.50,3.96,8.06,15.70,19.30,21.00,12.30,1837
2025-02-16,17:30:00,AL1,1,Werder Bremen,1-3,Hoffenheim,1-2,1.65,3.43,3.40,2.11,1.40,1.38,2.15,3.23,1.14,4.39,,,,1.41,1.07,1.30,1.33,2.12,2.21,3.76,1.98,2.58,3.39,1.73,1.64,2.44,12.65,33.50,4.78,5.64,8.25,20.90,13.60,5.66,1837
2025-02-15,20:30:00,AL1,1,Bayer Leverkusen,0-0,Bayern München,0-0,2.69,3.05,2.05,1.79,1.59,1.47,1.97,2.78,1.21,3.53,1.10,1.24,1.08,1.11,1.21,1.37,1.12,3.22,2.03,2.59,2.89,2.38,2.37,1.75,1.62,4.40,12.70,25.00,6.51,4.75,5.31,30.00,12.30,3.19,1837
2025-02-15,17:30:00,AL1,1,Bochum,2-0,Borussia Dortmund,2-0,4.73,3.95,1.38,2.20,1.37,1.45,2.00,3.40,1.12,4.59,,1.65,,,1.48,1.25,0,4.80,2.35,1.80,4.31,2.70,1.70,1.72,1.65,8.09,16.05,19.80,10.95,6.38,4.29,34.50,14.45,1.93,1837
2025-02-15,17:30:00,AL1,1,St. Pauli,0-1,Freiburg,0-0,2.16,2.77,2.73,1.47,1.96,1.69,1.67,2.35,1.31,2.69,1.23,1.11,1.11,1.22,1.09,1.45,1.16,2.82,1.86,3.41,2.53,2.17,3.00,1.77,1.61,3.48,12.95,34.50,5.19,3.97,6.19,30.50,13.25,4.58,1837
2025-02-15,17:30:00,AL1,1,Union Berlin,1-2,Mönchengladbach,0-2,1.89,3.12,2.94,1.86,1.53,1.44,2.03,2.91,1.18,3.76,1.09,1.09,1.07,1.30,1.09,1.35,1.25,2.40,2.08,3.42,2.21,2.43,3.07,1.75,1.62,2.88,12.25,31.00,5.10,4.94,7.12,23.40,12.85,4.86,1837
2025-02-15,17:30:00,AL1,1,Stuttgart,1-2,Wolfsburg,0-0,1.39,3.97,4.59,2.30,1.33,1.41,2.08,3.53,1.10,4.87,,,,1.63,0,1.24,1.48,1.80,2.38,4.66,1.71,2.75,4.21,1.72,1.65,1.95,14.25,34.50,4.35,6.55,10.80,19.35,15.80,7.78,1837
2025-02-14,22:30:00,AL1,1,Augsburg,0-0,RB Leipzig,0-0,2.69,2.92,2.11,1.69,1.68,1.51,1.89,2.66,1.23,3.27,1.13,1.23,1.09,1.12,1.19,1.38,1.11,3.24,1.99,2.66,2.90,2.32,2.43,1.77,1.61,4.41,12.60,26.50,6.43,4.47,5.36,31.00,12.25,3.31,1837
2025-02-09,19:30:00,AL1,1,RB Leipzig,2-0,St. Pauli,2-0,1.48,3.49,4.42,1.78,1.59,1.61,1.76,2.84,1.20,3.48,1.11,,,1.54,0,1.32,1.39,1.97,2.13,4.77,1.84,2.47,4.20,1.72,1.65,2.14,14.20,34.50,4.22,5.24,9.72,22.55,15.80,7.73,1836
2025-02-09,17:30:00,AL1,1,Holstein Kiel,2-2,Bochum,1-2,1.98,3.16,2.72,1.95,1.48,1.39,2.12,3.01,1.17,3.99,1.07,1.11,1.07,1.27,1.12,1.33,1.23,2.48,2.12,3.20,2.28,2.47,2.90,1.75,1.62,3.04,12.20,28.50,5.32,5.12,6.77,23.40,12.60,4.42,1836
2025-02-08,20:30:00,AL1,1,Mönchengladbach,1-1,Eintracht Frankfurt,1-1,2.27,3.19,2.31,2.27,1.34,1.28,2.45,3.40,1.12,4.90,,1.18,1.07,1.19,1.18,1.30,1.19,2.68,2.23,2.72,2.49,2.57,2.52,1.77,1.61,3.50,11.60,23.85,6.20,5.48,6.28,23.85,11.60,3.57,1836
2025-02-08,17:30:00,AL1,1,Borussia Dortmund,1-2,Stuttgart,0-0,1.71,3.46,3.18,2.28,1.33,1.32,2.33,3.43,1.11,4.87,,1.06,,1.38,1.09,1.28,1.32,2.15,2.27,3.53,2.01,2.63,3.19,1.73,1.64,2.51,12.35,30.50,4.99,5.87,7.99,20.45,13.15,5.19,1836
2025-02-08,17:30:00,AL1,1,Freiburg,1-0,Heidenheim,1-0,1.48,3.49,4.39,1.85,1.54,1.57,1.82,2.94,1.18,3.68,1.09,,,1.54,0,1.31,1.40,1.95,2.16,4.68,1.83,2.49,4.14,1.73,1.64,2.13,13.85,34.50,4.29,5.35,9.80,22.10,15.45,7.63,1836
