Tarih,Saat,Lig,MBS,Ev Sahibi,Skor,Deplasman,İY,MS1,MS0,MS2,AU2.5 Alt,AU2.5 Üst,KG Var,KG Yok,IY0.5 Alt,IY0.5 Üst,AU1.5 Alt,AU1.5 Üst,Çifte Şans 1-X,Çifte Şans 1-2,Çifte Şans X-2,IY Çifte Şans 1-X,IY Çifte Şans 1-2,IY Çifte Şans X-2,IY1,IY0,IY2,2Y1,2Y0,2Y2,Tek,Çift,IY/MS 1/1,IY/MS 1/0,IY/MS 1/2,IY/MS 0/1,IY/MS 0/0,IY/MS 0/2,IY/MS 2/1,IY/MS 2/0,IY/MS 2/2,Hafta
2025-03-04,23:00:00,ŞMP,1,Borussia Dortmund,1-1,Lille,1-0,1.38,3.67,5.14,1.74,1.63,1.71,1.65,2.83,1.20,3.37,1.12,,,1.64,0,1.31,1.44,1.86,2.15,5.39,1.74,2.48,4.73,1.72,1.65,1.98,15.30,34.50,4.01,5.37,10.95,23.00,17.35,9.15,1840
2025-03-04,23:00:00,ŞMP,1,PSV Eindhoven,1-7,Arsenal,1-3,3.75,3.07,1.68,1.54,1.85,1.72,1.65,2.47,1.28,2.84,1.19,1.40,1.07,,1.29,1.41,0,4.38,1.93,2.26,3.79,2.27,2.07,1.74,1.63,6.59,15.00,26.00,8.08,4.40,4.35,34.50,13.80,2.55,1840
2025-03-04,23:00:00,ŞMP,1,Real Madrid,2-1,Atletico Madrid,1-1,1.66,3.26,3.57,1.86,1.54,1.49,1.93,2.91,1.18,3.72,1.09,,1.05,1.41,1.06,1.33,1.32,2.15,2.11,3.99,2.00,2.46,3.54,1.74,1.63,2.46,12.85,34.50,4.62,5.10,8.27,22.55,13.90,6.06,1840
2025-03-04,20:45:00,ŞMP,1,Club Brugge,1-3,Aston Villa,1-1,2.72,2.91,2.09,1.64,1.72,1.55,1.84,2.59,1.24,3.14,1.15,1.23,1.09,1.11,1.19,1.40,1.11,3.30,1.96,2.67,2.94,2.29,2.42,1.76,1.61,4.49,12.85,27.00,6.42,4.40,5.26,32.00,12.45,3.30,1840
2025-02-19,23:00:00,ŞMP,1,Paris SG,7-0,Brest,2-0,,8.17,15.70,3.14,1.15,1.79,1.59,4.66,,6.97,,,,2.52,0,1.09,2.20,1.26,3.28,11.05,1.21,3.79,10.45,1.68,1.69,1.23,29.50,34.50,3.96,12.60,34.00,21.60,34.50,28.50,1838
2025-02-19,23:00:00,ŞMP,1,PSV Eindhoven,2-1,Juventus,0-0,1.99,3.14,2.72,1.86,1.54,1.44,2.03,2.88,1.19,3.73,1.09,1.11,1.07,1.26,1.11,1.35,1.23,2.52,2.07,3.25,2.30,2.43,2.91,1.74,1.63,3.07,12.45,29.50,5.23,4.99,6.65,24.30,12.90,4.46,1838
2025-02-19,23:00:00,ŞMP,1,Real Madrid,3-1,Manchester City,2-0,1.64,3.69,3.26,2.55,1.26,1.27,2.49,3.72,1.09,5.55,,1.05,,1.43,1.09,1.26,1.35,2.07,2.36,3.55,1.93,2.74,3.25,1.72,1.65,2.38,12.75,30.00,4.94,6.46,8.34,19.15,13.55,5.27,1838
2025-02-19,20:45:00,ŞMP,1,Borussia Dortmund,0-0,Sporting Lisbon,0-0,1.51,3.54,4.11,1.95,1.48,1.50,1.93,3.05,1.16,3.94,1.07,,,1.51,0,1.30,1.39,1.98,2.20,4.42,1.85,2.55,3.93,1.72,1.65,2.18,13.60,34.50,4.38,5.56,9.41,21.35,15.00,7.06,1838
2025-02-18,23:00:00,ŞMP,1,Atalanta,1-3,Club Brugge,0-3,1.30,4.07,5.71,1.86,1.53,1.70,1.66,3.00,1.17,3.68,1.09,,,1.75,0,1.28,1.51,1.75,2.25,5.79,1.64,2.61,5.15,1.70,1.67,1.83,16.55,34.50,3.90,6.02,12.25,21.70,18.80,10.20,1838
2025-02-18,23:00:00,ŞMP,1,Bayern München,1-1,Celtic,0-0,,6.86,11.75,2.82,1.20,1.71,1.66,4.26,1.05,6.13,,,,2.35,0,1.12,2.00,1.35,2.99,9.10,1.28,3.44,8.56,1.68,1.69,1.33,25.00,34.50,3.89,10.65,25.50,20.55,29.00,21.10,1838
