Tarih,Saat,Lig,MBS,Ev Sahibi,Skor,Deplasman,İY,MS1,MS0,MS2,AU2.5 Alt,AU2.5 Üst,KG Var,KG Yok,IY0.5 Alt,IY0.5 Üst,AU1.5 Alt,AU1.5 Üst,Çifte Şans 1-X,Çifte Şans 1-2,Çifte Şans X-2,IY Çifte Şans 1-X,IY Çifte Şans 1-2,IY Çifte Şans X-2,IY1,IY0,IY2,2Y1,2Y0,2Y2,Tek,Çift,IY/MS 1/1,IY/MS 1/0,IY/MS 1/2,IY/MS 0/1,IY/MS 0/0,IY/MS 0/2,IY/MS 2/1,IY/MS 2/0,IY/MS 2/2,Hafta
2025-01-30,23:00:00,AVL,1,Tottenham Hotspur,-,Elfsborg,-,1.05,6.75,11.20,2.76,1.21,1.71,1.66,4.19,1.05,5.98,,,,2.32,0,1.13,1.96,1.36,2.94,8.79,1.30,3.40,8.33,1.67,1.69,1.34,24.70,34.50,3.86,10.40,24.30,20.40,28.50,19.95,1835
2025-01-30,23:00:00,AVL,1,Twente,-,Beşiktaş,-,1.93,3.26,2.77,2.07,1.42,1.36,2.22,3.17,1.15,4.33,,1.10,1.06,1.29,1.12,1.31,1.24,2.41,2.17,3.21,2.22,2.53,2.91,1.74,1.63,2.91,12.20,28.00,5.29,5.40,6.97,22.55,12.65,4.47,1835
2025-01-23,23:00:00,AVL,1,Eintracht Frankfurt,2-0,Ferencvaros,0-0,1.33,4.20,5.04,2.17,1.37,1.51,1.91,3.37,1.12,4.47,,,,1.71,0,1.25,1.51,1.76,2.36,5.10,1.65,2.74,4.61,1.69,1.67,1.87,15.65,34.50,4.10,6.67,11.45,19.65,17.45,8.72,1834
2025-01-23,23:00:00,AVL,1,Elfsborg,1-0,Nice,0-0,2.42,3.11,2.21,1.97,1.47,1.37,2.17,3.04,1.16,4.06,1.06,1.20,1.08,1.16,1.19,1.33,1.16,2.91,2.12,2.69,2.64,2.47,2.47,1.76,1.62,3.84,12.15,24.70,6.23,5.08,5.79,26.50,12.00,3.44,1834
2025-01-23,23:00:00,AVL,1,Lazio,3-1,Real Sociedad,3-0,2.20,2.73,2.72,1.42,2.07,1.76,1.62,2.26,1.34,2.53,1.26,1.11,1.11,1.21,1.09,1.48,1.16,2.89,1.81,3.45,2.57,2.13,3.03,1.77,1.60,3.57,13.20,34.50,5.17,3.83,6.10,31.50,13.55,4.60,1834
2025-01-23,23:00:00,AVL,1,Ludogorets Razgrad,0-2,Midtjylland,0-1,2.37,2.80,2.43,1.67,1.70,1.51,1.91,2.65,1.23,3.26,1.14,1.16,1.10,1.16,1.15,1.39,1.16,2.90,1.98,2.96,2.64,2.28,2.69,1.79,1.58,3.78,11.85,29.00,5.93,4.30,6.04,28.50,11.90,3.90,1834
2025-01-23,23:00:00,AVL,1,Manchester United,2-1,Rangers,0-0,1.39,3.90,4.70,2.14,1.39,1.48,1.96,3.33,1.13,4.42,,,,1.64,0,1.26,1.47,1.82,2.32,4.81,1.72,2.68,4.32,1.72,1.65,1.95,14.50,34.50,4.25,6.25,10.80,20.10,16.15,8.09,1834
2025-01-23,23:00:00,AVL,1,PAOK,2-0,Slavia Prag,1-0,2.36,2.98,2.34,1.60,1.77,1.58,1.79,2.52,1.26,3.02,1.16,1.17,1.09,1.17,1.15,1.42,1.14,3.00,1.93,2.98,2.68,2.28,2.65,1.74,1.63,3.85,13.20,29.00,5.64,4.42,5.59,29.50,13.15,3.80,1834
2025-01-23,23:00:00,AVL,1,Rigas Skola,1-0,Ajax,0-0,5.98,4.16,1.28,1.98,1.46,1.65,1.72,3.18,1.15,4.00,1.07,1.78,,,1.55,1.25,0,5.86,2.33,1.70,5.22,2.67,1.61,1.71,1.66,10.60,18.60,21.35,12.95,6.28,3.97,34.50,16.25,1.77,1834
2025-01-23,23:00:00,AVL,1,Union Saint-Gilloise,2-1,Sporting Braga,0-1,1.59,3.30,3.90,1.86,1.54,1.51,1.91,2.93,1.18,3.73,1.09,,1.05,1.45,0,1.32,1.35,2.07,2.14,4.25,1.93,2.47,3.76,1.75,1.63,2.32,12.95,34.50,4.52,5.14,8.94,22.55,14.25,6.69,1834
